"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","1950",65.282,
"AUS","WKGPOP","TOT","PC_POP","A","1951",64.736,
"AUS","WKGPOP","TOT","PC_POP","A","1952",64.263,
"AUS","WKGPOP","TOT","PC_POP","A","1953",63.648,
"AUS","WKGPOP","TOT","PC_POP","A","1954",63.086,
"AUS","WKGPOP","TOT","PC_POP","A","1955",62.578,
"AUS","WKGPOP","TOT","PC_POP","A","1956",62.189,
"AUS","WKGPOP","TOT","PC_POP","A","1957",61.886,
"AUS","WKGPOP","TOT","PC_POP","A","1958",61.499,
"AUS","WKGPOP","TOT","PC_POP","A","1959",61.36,
"AUS","WKGPOP","TOT","PC_POP","A","1960",61.279,
"AUS","WKGPOP","TOT","PC_POP","A","1961",61.176,
"AUS","WKGPOP","TOT","PC_POP","A","1962",61.413,
"AUS","WKGPOP","TOT","PC_POP","A","1963",61.528,
"AUS","WKGPOP","TOT","PC_POP","A","1964",61.657,
"AUS","WKGPOP","TOT","PC_POP","A","1965",61.852,
"AUS","WKGPOP","TOT","PC_POP","A","1966",62.015,
"AUS","WKGPOP","TOT","PC_POP","A","1967",62.244,
"AUS","WKGPOP","TOT","PC_POP","A","1968",62.523,
"AUS","WKGPOP","TOT","PC_POP","A","1969",62.706,
"AUS","WKGPOP","TOT","PC_POP","A","1970",62.826,
"AUS","WKGPOP","TOT","PC_POP","A","1971",62.978,
"AUS","WKGPOP","TOT","PC_POP","A","1972",63.085,
"AUS","WKGPOP","TOT","PC_POP","A","1973",63.26,
"AUS","WKGPOP","TOT","PC_POP","A","1974",63.524,
"AUS","WKGPOP","TOT","PC_POP","A","1975",63.786,
"AUS","WKGPOP","TOT","PC_POP","A","1976",64.085,
"AUS","WKGPOP","TOT","PC_POP","A","1977",64.408,
"AUS","WKGPOP","TOT","PC_POP","A","1978",64.692,
"AUS","WKGPOP","TOT","PC_POP","A","1979",64.947,
"AUS","WKGPOP","TOT","PC_POP","A","1980",65.129,
"AUS","WKGPOP","TOT","PC_POP","A","1981",65.285,
"AUS","WKGPOP","TOT","PC_POP","A","1982",65.465,
"AUS","WKGPOP","TOT","PC_POP","A","1983",65.655,
"AUS","WKGPOP","TOT","PC_POP","A","1984",65.919,
"AUS","WKGPOP","TOT","PC_POP","A","1985",66.135,
"AUS","WKGPOP","TOT","PC_POP","A","1986",66.403,
"AUS","WKGPOP","TOT","PC_POP","A","1987",66.633,
"AUS","WKGPOP","TOT","PC_POP","A","1988",66.789,
"AUS","WKGPOP","TOT","PC_POP","A","1989",66.865,
"AUS","WKGPOP","TOT","PC_POP","A","1990",66.901,
"AUS","WKGPOP","TOT","PC_POP","A","1991",66.811,
"AUS","WKGPOP","TOT","PC_POP","A","1992",66.731,
"AUS","WKGPOP","TOT","PC_POP","A","1993",66.634,
"AUS","WKGPOP","TOT","PC_POP","A","1994",66.579,
"AUS","WKGPOP","TOT","PC_POP","A","1995",66.571,
"AUS","WKGPOP","TOT","PC_POP","A","1996",66.601,
"AUS","WKGPOP","TOT","PC_POP","A","1997",66.642,
"AUS","WKGPOP","TOT","PC_POP","A","1998",66.706,
"AUS","WKGPOP","TOT","PC_POP","A","1999",66.768,
"AUS","WKGPOP","TOT","PC_POP","A","2000",66.852,
"AUS","WKGPOP","TOT","PC_POP","A","2001",66.903,
"AUS","WKGPOP","TOT","PC_POP","A","2002",67.016,
"AUS","WKGPOP","TOT","PC_POP","A","2003",67.136,
"AUS","WKGPOP","TOT","PC_POP","A","2004",67.224,
"AUS","WKGPOP","TOT","PC_POP","A","2005",67.312,
"AUS","WKGPOP","TOT","PC_POP","A","2006",67.402,
"AUS","WKGPOP","TOT","PC_POP","A","2007",67.43,
"AUS","WKGPOP","TOT","PC_POP","A","2008",67.499,
"AUS","WKGPOP","TOT","PC_POP","A","2009",67.505,
"AUS","WKGPOP","TOT","PC_POP","A","2010",67.386,
"AUS","WKGPOP","TOT","PC_POP","A","2011",67.226,
"AUS","WKGPOP","TOT","PC_POP","A","2012",66.93,
"AUS","WKGPOP","TOT","PC_POP","A","2013",66.671,
"AUS","WKGPOP","TOT","PC_POP","A","2014",66.425,
"AUS","WKGPOP","TOT","PC_POP","A","2015",66.183,
